Time,Channel A,Channel B
(ms),(V),(V)

7.41375995,0.26468703,0.27359843
7.45471995,0.25559253,0.26450393
7.49567995,0.25559253,0.25543994
7.53663995,0.25559253,0.26450393
7.57759995,0.26468703,0.27359843
7.61855995,0.28287607,0.29172644
7.65951995,0.29200110,0.30082095
7.70047995,0.31019014,0.29172644
7.74143995,0.30109560,0.27359843
7.78239995,0.31019014,0.28266242
7.82335995,0.30109560,0.27359843
7.86431995,0.30109560,0.28266242
7.90527995,0.31019014,0.29172644
7.94623995,0.31928465,0.28266242
7.98719995,0.32837915,0.27359843
8.02815995,0.31019014,0.27359843
8.06911995,0.29200110,0.26450393
8.11007995,0.30109560,0.27359843
8.15103995,0.31928465,0.26450393
8.19199995,0.31928465,0.27359843
8.23295995,0.31928465,0.28266242
8.27391995,0.31928465,0.28266242
8.31487995,0.33747369,0.27359843
8.35583995,0.32837915,0.27359843
8.39679995,0.32837915,0.27359843
8.43775995,0.31019014,0.27359843
8.47871995,0.31019014,0.27359843
8.51967995,0.29200110,0.27359843
8.56063995,0.29200110,0.27359843
8.60159995,0.29200110,0.29172644
8.64255995,0.29200110,0.29172644
8.68351995,0.29200110,0.28266242
8.72447995,0.31019014,0.28266242
8.76543995,0.30109560,0.28266242
8.80639995,0.31019014,0.28266242
8.84735995,0.30109560,0.29172644
8.88831995,0.29200110,0.29172644
8.92927995,0.29200110,0.29172644
8.97023995,0.28287607,0.30082095
9.01119995,0.28287607,0.30082095
9.05215994,0.28287607,0.30082095
9.09311994,0.29200110,0.30082095
9.13407994,0.28287607,0.29172644
9.17503994,0.29200110,0.30082095
9.21599994,0.28287607,0.29172644
9.25695994,0.28287607,0.28266242
9.29791994,0.27378154,0.26450393
9.33887994,0.26468703,0.26450393
9.37983994,0.25559253,0.25543994
9.42079994,0.25559253,0.26450393
9.46175994,0.27378154,0.28266242
9.50271994,0.28287607,0.29172644
9.54367994,0.28287607,0.29172644
9.58463994,0.27378154,0.28266242
9.62559994,0.27378154,0.27359843
9.66655994,0.27378154,0.26450393
9.70751994,0.25559253,0.25543994
9.74847994,0.24649800,0.25543994
9.78943994,0.24649800,0.26450393
9.83039994,0.24649800,0.26450393
9.87135994,0.23737296,0.24637593
9.91231994,0.21008942,0.22821741
9.95327994,0.17368084,0.17377239
9.99423994,0.14639729,0.15564440
10.03519994,0.14639729,0.15564440
10.07615994,0.15549180,0.15564440
10.11711994,0.16458632,0.15564440
10.15807994,0.17368084,0.15564440
10.19903994,0.17368084,0.16470839
10.23999994,0.06448561,0.05581835
10.28095994,0.06448561,0.05581835
10.32191994,0.07358012,0.06488235
10.36287994,0.09176916,0.08304086
10.40383994,0.12817773,0.10119937
10.44479994,0.09176916,0.09210486
10.48575994,0.05539110,0.05581835
10.52671994,0.00988800,0.01046785
10.56767994,-0.05380413,-0.05304117
10.60863994,-0.01739555,-0.04394665
10.64959994,-0.05380413,-0.05304117
10.69055994,-0.01739555,-0.03488266
10.73151993,-0.04467910,-0.04394665
10.77247993,-0.04467910,-0.05304117
10.81343993,-0.09930723,-0.09839167
10.85439993,-0.09018219,-0.09839167
10.89535993,-0.05380413,-0.05304117
10.93631993,-0.07199316,-0.07116917
10.97727993,-0.10840175,-0.10748619
11.01823993,-0.11749626,-0.11655018
11.05919993,-0.18118839,-0.18005921
11.10015993,-0.19940794,-0.19821772
11.14111993,-0.20850246,-0.21634571
11.18207993,-0.21759698,-0.22544023
11.22303993,-0.21759698,-0.21634571
11.26399993,-0.17209387,-0.17099521
11.30495993,-0.17209387,-0.17099521
11.34591993,-0.29950866,-0.30707723
11.38687993,-0.29041412,-0.28894925
11.42783993,-0.29950866,-0.29801324
11.46879993,-0.31769767,-0.31617177
11.50975993,-0.39960936,-0.40690330
