Time,Channel A
(ms),(V)

46.42815972,-0.89608449
46.44863972,-0.89608449
46.46911972,-0.89608449
46.48959972,-0.91433454
46.51007972,-0.91433454
46.53055972,-0.91433454
46.55103972,-0.91433454
46.57151972,-0.91433454
46.59199972,-0.91433454
46.61247972,-0.91433454
46.63295972,-0.91433454
46.65343972,-0.93264568
46.67391972,-0.91433454
46.69439972,-0.93264568
46.71487972,-0.93264568
46.73535972,-0.93264568
46.75583972,-0.93264568
46.77631972,-0.93264568
46.79679972,-0.93264568
46.81727972,-0.93264568
46.83775972,-0.91433454
46.85823972,-0.93264568
46.87871972,-0.93264568
46.89919971,-0.93264568
46.91967971,-0.93264568
46.94015971,-0.91433454
46.96063971,-0.93264568
46.98111971,-0.91433454
47.00159971,-0.93264568
47.02207971,-0.93264568
47.04255971,-0.93264568
47.06303971,-0.91433454
47.08351971,-0.91433454
47.10399971,-0.91433454
47.12447971,-0.91433454
47.14495971,-0.91433454
47.16543971,-0.91433454
47.18591971,-0.91433454
47.20639971,-0.91433454
47.22687971,-0.91433454
47.24735971,-0.89608449
47.26783971,-0.89608449
47.28831971,-0.89608449
47.30879971,-0.89608449
47.32927971,-0.89608449
47.34975971,-0.89608449
47.37023971,-0.89608449
47.39071971,-0.87777334
47.41119971,-0.87777334
47.43167971,-0.89608449
47.45215971,-0.89608449
47.47263971,-0.87777334
47.49311971,-0.85952330
47.51359971,-0.87777334
47.53407971,-0.85952330
47.55455971,-0.85952330
47.57503971,-0.85952330
47.59551971,-0.84121221
47.61599971,-0.85952330
47.63647971,-0.84121221
47.65695971,-0.84121221
47.67743971,-0.84121221
47.69791971,-0.84121221
47.71839971,-0.84121221
47.73887971,-0.82296211
47.75935971,-0.82296211
47.77983971,-0.82296211
47.80031971,-0.82296211
47.82079971,-0.82296211
47.84127971,-0.82296211
47.86175971,-0.82296211
47.88223971,-0.82296211
47.90271971,-0.82296211
47.92319971,-0.82296211
47.94367971,-0.82296211
47.96415971,-0.82296211
47.98463971,-0.82296211
48.00511971,-0.82296211
48.02559971,-0.82296211
48.04607971,-0.82296211
48.06655971,-0.82296211
48.08703971,-0.82296211
48.10751971,-0.82296211
48.12799971,-0.82296211
48.14847971,-0.82296211
48.16895971,-0.82296211
48.18943971,-0.82296211
48.20991971,-0.82296211
48.23039971,-0.82296211
48.25087971,-0.82296211
48.27135971,-0.84121221
48.29183971,-0.84121221
48.31231971,-0.84121221
48.33279971,-0.84121221
48.35327971,-0.84121221
48.37375971,-0.84121221
48.39423971,-0.84121221
48.41471971,-0.85952330
48.43519971,-0.84121221
48.45567971,-0.85952330
48.47615971,-0.85952330
48.49663971,-0.85952330
48.51711971,-0.87777334
48.53759971,-0.87777334
48.55807970,-0.87777334
48.57855970,-0.87777334
48.59903970,-0.87777334
48.61951970,-0.89608449
48.63999970,-0.89608449
48.66047970,-0.89608449
48.68095970,-0.89608449
48.70143970,-0.89608449
48.72191970,-0.89608449
48.74239970,-0.89608449
48.76287970,-0.89608449
48.78335970,-0.89608449
48.80383970,-0.89608449
48.82431970,-0.91433454
48.84479970,-0.89608449
48.86527970,-0.91433454
48.88575970,-0.91433454
48.90623970,-0.91433454
48.92671970,-0.89608449
48.94719970,-0.89608449
48.96767970,-0.91433454
48.98815970,-0.91433454
49.00863970,-0.91433454
49.02911970,-0.91433454
49.04959970,-0.91433454
49.07007970,-0.91433454
49.09055970,-0.91433454
49.11103970,-0.91433454
49.13151970,-0.91433454
49.15199970,-0.91433454
49.17247970,-0.91433454
49.19295970,-0.91433454
49.21343970,-0.91433454
49.23391970,-0.91433454
49.25439970,-0.89608449
49.27487970,-0.91433454
49.29535970,-0.89608449
49.31583970,-0.89608449
49.33631970,-0.89608449
49.35679970,-0.89608449
49.37727970,-0.89608449
49.39775970,-0.89608449
49.41823970,-0.89608449
49.43871970,-0.89608449
49.45919970,-0.89608449
49.47967970,-0.89608449
49.50015970,-0.89608449
49.52063970,-0.87777334
49.54111970,-0.87777334
49.56159970,-0.87777334
49.58207970,-0.85952330
49.60255970,-0.85952330
49.62303970,-0.85952330
49.64351970,-0.85952330
49.66399970,-0.84121221
49.68447970,-0.84121221
49.70495970,-0.84121221
49.72543970,-0.84121221
49.74591970,-0.84121221
49.76639970,-0.84121221
49.78687970,-0.84121221
49.80735970,-0.84121221
49.82783970,-0.84121221
49.84831970,-0.82296211
49.86879970,-0.82296211
49.88927970,-0.82296211
49.90975970,-0.82296211
49.93023970,-0.82296211
49.95071970,-0.82296211
49.97119970,-0.80471206
49.99167970,-0.80471206
50.01215970,-0.80471206
50.03263970,-0.78640097
50.05311970,-0.78640097
50.07359970,-0.78640097
50.09407970,-0.78640097
50.11455970,-0.78640097
50.13503970,-0.78640097
50.15551970,-0.78640097
50.17599970,-0.78640097
50.19647969,-0.78640097
50.21695969,-0.78640097
50.23743969,-0.78640097
50.25791969,-0.78640097
50.27839969,-0.78640097
50.29887969,-0.78640097
50.31935969,-0.78640097
50.33983969,-0.78640097
50.36031969,-0.78640097
50.38079969,-0.80471206
50.40127969,-0.78640097
50.42175969,-0.80471206
50.44223969,-0.80471206
50.46271969,-0.80471206
50.48319969,-0.82296211
50.50367969,-0.82296211
50.52415969,-0.82296211
50.54463969,-0.82296211
50.56511969,-0.82296211
50.58559969,-0.82296211
50.60607969,-0.84121221
50.62655969,-0.84121221
50.64703969,-0.82296211
50.66751969,-0.84121221
50.68799969,-0.84121221
50.70847969,-0.84121221
50.72895969,-0.84121221
50.74943969,-0.84121221
50.76991969,-0.84121221
50.79039969,-0.84121221
50.81087969,-0.84121221
50.83135969,-0.85952330
50.85183969,-0.85952330
50.87231969,-0.85952330
50.89279969,-0.87777334
50.91327969,-0.89608449
50.93375969,-0.87777334
50.95423969,-0.87777334
50.97471969,-0.87777334
50.99519969,-0.89608449
51.01567969,-0.89608449
51.03615969,-0.89608449
51.05663969,-0.89608449
51.07711969,-0.89608449
51.09759969,-0.89608449
51.11807969,-0.89608449
51.13855969,-0.89608449
51.15903969,-0.89608449
51.17951969,-0.89608449
51.19999969,-0.89608449
51.22047969,-0.89608449
51.24095969,-0.91433454
51.26143969,-0.89608449
51.28191969,-0.91433454
51.30239969,-0.91433454
51.32287969,-0.89608449
51.34335969,-0.91433454
51.36383969,-0.91433454
51.38431969,-0.89608449
51.40479969,-0.89608449
51.42527969,-0.91433454
51.44575969,-0.89608449
51.46623969,-0.89608449
51.48671969,-0.91433454
51.50719969,-0.89608449
51.52767969,-0.91433454
51.54815969,-0.89608449
51.56863969,-0.89608449
51.58911969,-0.89608449
51.60959969,-0.89608449
51.63007969,-0.89608449
51.65055969,-0.89608449
51.67103969,-0.89608449
51.69151969,-0.87777334
51.71199969,-0.87777334
51.73247969,-0.87777334
51.75295969,-0.85952330
51.77343969,-0.87777334
51.79391969,-0.85952330
51.81439969,-0.85952330
51.83487968,-0.85952330
51.85535968,-0.85952330
51.87583968,-0.85952330
51.89631968,-0.85952330
51.91679968,-0.85952330
51.93727968,-0.84121221
51.95775968,-0.85952330
51.97823968,-0.85952330
51.99871968,-0.84121221
52.01919968,-0.84121221
52.03967968,-0.84121221
52.06015968,-0.84121221
52.08063968,-0.82296211
52.10111968,-0.82296211
52.12159968,-0.82296211
52.14207968,-0.82296211
52.16255968,-0.82296211
52.18303968,-0.82296211
52.20351968,-0.80471206
52.22399968,-0.82296211
52.24447968,-0.82296211
52.26495968,-0.82296211
52.28543968,-0.82296211
52.30591968,-0.80471206
52.32639968,-0.80471206
52.34687968,-0.80471206
52.36735968,-0.80471206
52.38783968,-0.78640097
52.40831968,-0.80471206
52.42879968,-0.78640097
52.44927968,-0.78640097
52.46975968,-0.78640097
52.49023968,-0.78640097
52.51071968,-0.80471206
52.53119968,-0.80471206
52.55167968,-0.80471206
52.57215968,-0.80471206
52.59263968,-0.82296211
52.61311968,-0.80471206
52.63359968,-0.82296211
52.65407968,-0.80471206
52.67455968,-0.82296211
52.69503968,-0.82296211
52.71551968,-0.82296211
52.73599968,-0.82296211
52.75647968,-0.82296211
52.77695968,-0.82296211
52.79743968,-0.82296211
52.81791968,-0.84121221
52.83839968,-0.84121221
52.85887968,-0.84121221
52.87935968,-0.84121221
52.89983968,-0.84121221
52.92031968,-0.84121221
52.94079968,-0.84121221
52.96127968,-0.85952330
52.98175968,-0.85952330
53.00223968,-0.85952330
53.02271968,-0.85952330
53.04319968,-0.85952330
53.06367968,-0.87777334
53.08415968,-0.87777334
53.10463968,-0.87777334
53.12511968,-0.89608449
53.14559968,-0.89608449
53.16607968,-0.89608449
53.18655968,-0.89608449
53.20703968,-0.89608449
53.22751968,-0.89608449
53.24799968,-0.89608449
53.26847968,-0.89608449
53.28895968,-0.89608449
53.30943968,-0.89608449
53.32991968,-0.89608449
53.35039968,-0.91433454
53.37087968,-0.91433454
53.39135968,-0.91433454
53.41183968,-0.91433454
53.43231968,-0.91433454
53.45279968,-0.91433454
53.47327968,-0.91433454
53.49375967,-0.91433454
53.51423967,-0.91433454
53.53471967,-0.91433454
53.55519967,-0.91433454
53.57567967,-0.91433454
53.59615967,-0.91433454
53.61663967,-0.91433454
53.63711967,-0.91433454
53.65759967,-0.91433454
53.67807967,-0.91433454
53.69855967,-0.91433454
53.71903967,-0.91433454
53.73951967,-0.91433454
53.75999967,-0.91433454
53.78047967,-0.91433454
53.80095967,-0.91433454
53.82143967,-0.91433454
53.84191967,-0.89608449
53.86239967,-0.91433454
53.88287967,-0.89608449
53.90335967,-0.89608449
53.92383967,-0.89608449
53.94431967,-0.89608449
53.96479967,-0.89608449
53.98527967,-0.89608449
54.00575967,-0.89608449
54.02623967,-0.89608449
54.04671967,-0.89608449
54.06719967,-0.89608449
54.08767967,-0.89608449
54.10815967,-0.89608449
54.12863967,-0.85952330
54.14911967,-0.87777334
54.16959967,-0.85952330
54.19007967,-0.87777334
54.21055967,-0.85952330
54.23103967,-0.85952330
54.25151967,-0.84121221
54.27199967,-0.85952330
54.29247967,-0.85952330
54.31295967,-0.85952330
54.33343967,-0.84121221
54.35391967,-0.85952330
54.37439967,-0.84121221
54.39487967,-0.84121221
54.41535967,-0.84121221
54.43583967,-0.84121221
54.45631967,-0.84121221
54.47679967,-0.84121221
54.49727967,-0.82296211
54.51775967,-0.82296211
54.53823967,-0.82296211
54.55871967,-0.82296211
54.57919967,-0.82296211
54.59967967,-0.82296211
54.62015967,-0.82296211
54.64063967,-0.82296211
54.66111967,-0.82296211
54.68159967,-0.82296211
54.70207967,-0.82296211
54.72255967,-0.82296211
54.74303967,-0.82296211
54.76351967,-0.82296211
54.78399967,-0.82296211
54.80447967,-0.82296211
54.82495967,-0.82296211
54.84543967,-0.82296211
54.86591967,-0.82296211
54.88639967,-0.84121221
54.90687967,-0.84121221
54.92735967,-0.84121221
54.94783967,-0.84121221
54.96831967,-0.84121221
54.98879967,-0.84121221
55.00927967,-0.84121221
55.02975967,-0.84121221
55.05023967,-0.85952330
55.07071967,-0.85952330
55.09119967,-0.85952330
55.11167967,-0.85952330
55.13215966,-0.85952330
55.15263966,-0.87777334
55.17311966,-0.87777334
55.19359966,-0.87777334
55.21407966,-0.89608449
55.23455966,-0.87777334
55.25503966,-0.89608449
55.27551966,-0.89608449
55.29599966,-0.89608449
55.31647966,-0.89608449
55.33695966,-0.89608449
55.35743966,-0.89608449
55.37791966,-0.89608449
55.39839966,-0.89608449
55.41887966,-0.91433454
55.43935966,-0.91433454
55.45983966,-0.91433454
55.48031966,-0.91433454
55.50079966,-0.91433454
55.52127966,-0.91433454
55.54175966,-0.91433454
55.56223966,-0.91433454
55.58271966,-0.91433454
55.60319966,-0.91433454
55.62367966,-0.91433454
55.64415966,-0.91433454
55.66463966,-0.93264568
55.68511966,-0.91433454
55.70559966,-0.93264568
55.72607966,-0.93264568
55.74655966,-0.93264568
55.76703966,-0.91433454
55.78751966,-0.91433454
55.80799966,-0.93264568
55.82847966,-0.93264568
55.84895966,-0.93264568
55.86943966,-0.93264568
55.88991966,-0.93264568
55.91039966,-0.91433454
55.93087966,-0.91433454
55.95135966,-0.91433454
55.97183966,-0.93264568
55.99231966,-0.91433454
56.01279966,-0.91433454
56.03327966,-0.91433454
56.05375966,-0.91433454
56.07423966,-0.91433454
56.09471966,-0.91433454
56.11519966,-0.91433454
56.13567966,-0.91433454
56.15615966,-0.91433454
56.17663966,-0.91433454
56.19711966,-0.91433454
56.21759966,-0.91433454
56.23807966,-0.89608449
56.25855966,-0.89608449
56.27903966,-0.89608449
56.29951966,-0.89608449
56.31999966,-0.89608449
56.34047966,-0.89608449
56.36095966,-0.89608449
56.38143966,-0.87777334
56.40191966,-0.87777334
56.42239966,-0.87777334
56.44287966,-0.87777334
56.46335966,-0.87777334
56.48383966,-0.85952330
56.50431966,-0.87777334
56.52479966,-0.87777334
56.54527966,-0.85952330
56.56575966,-0.85952330
56.58623966,-0.84121221
56.60671966,-0.84121221
56.62719966,-0.84121221
56.64767966,-0.84121221
56.66815966,-0.84121221
56.68863966,-0.84121221
56.70911966,-0.84121221
56.72959966,-0.84121221
56.75007966,-0.82296211
56.77055965,-0.84121221
56.79103965,-0.84121221
56.81151965,-0.82296211
56.83199965,-0.84121221
56.85247965,-0.82296211
56.87295965,-0.82296211
56.89343965,-0.82296211
56.91391965,-0.82296211
56.93439965,-0.82296211
56.95487965,-0.84121221
56.97535965,-0.82296211
56.99583965,-0.82296211
57.01631965,-0.82296211
57.03679965,-0.82296211
57.05727965,-0.82296211
57.07775965,-0.82296211
57.09823965,-0.84121221
57.11871965,-0.84121221
57.13919965,-0.84121221
57.15967965,-0.84121221
57.18015965,-0.84121221
57.20063965,-0.84121221
57.22111965,-0.84121221
57.24159965,-0.84121221
57.26207965,-0.84121221
57.28255965,-0.84121221
57.30303965,-0.85952330
57.32351965,-0.85952330
57.34399965,-0.85952330
57.36447965,-0.85952330
57.38495965,-0.85952330
57.40543965,-0.85952330
57.42591965,-0.85952330
57.44639965,-0.87777334
57.46687965,-0.87777334
57.48735965,-0.87777334
57.50783965,-0.89608449
57.52831965,-0.89608449
57.54879965,-0.89608449
57.56927965,-0.89608449
57.58975965,-0.89608449
57.61023965,-0.89608449
57.63071965,-0.89608449
57.65119965,-0.89608449
57.67167965,-0.91433454
57.69215965,-0.89608449
57.71263965,-0.91433454
57.73311965,-0.89608449
57.75359965,-0.91433454
57.77407965,-0.91433454
57.79455965,-0.91433454
57.81503965,-0.91433454
57.83551965,-0.91433454
57.85599965,-0.91433454
57.87647965,-0.91433454
57.89695965,-0.91433454
57.91743965,-0.91433454
57.93791965,-0.91433454
57.95839965,-0.91433454
57.97887965,-0.91433454
57.99935965,-0.91433454
58.01983965,-0.91433454
58.04031965,-0.91433454
58.06079965,-0.91433454
58.08127965,-0.91433454
58.10175965,-0.91433454
58.12223965,-0.91433454
58.14271965,-0.91433454
58.16319965,-0.91433454
58.18367965,-0.91433454
58.20415965,-0.91433454
58.22463965,-0.91433454
58.24511965,-0.91433454
58.26559965,-0.91433454
58.28607965,-0.91433454
58.30655965,-0.89608449
58.32703965,-0.91433454
58.34751965,-0.89608449
58.36799965,-0.89608449
58.38847965,-0.89608449
58.40895965,-0.89608449
58.42943964,-0.89608449
58.44991964,-0.89608449
58.47039964,-0.89608449
58.49087964,-0.89608449
58.51135964,-0.89608449
58.53183964,-0.89608449
58.55231964,-0.89608449
58.57279964,-0.87777334
58.59327964,-0.85952330
58.61375964,-0.85952330
58.63423964,-0.84121221
58.65471964,-0.85952330
58.67519964,-0.85952330
58.69567964,-0.85952330
58.71615964,-0.84121221
58.73663964,-0.84121221
58.75711964,-0.85952330
58.77759964,-0.84121221
58.79807964,-0.84121221
58.81855964,-0.84121221
58.83903964,-0.82296211
58.85951964,-0.82296211
58.87999964,-0.84121221
58.90047964,-0.82296211
58.92095964,-0.84121221
58.94143964,-0.82296211
58.96191964,-0.82296211
58.98239964,-0.82296211
59.00287964,-0.82296211
59.02335964,-0.80471206
59.04383964,-0.80471206
59.06431964,-0.80471206
59.08479964,-0.80471206
59.10527964,-0.82296211
59.12575964,-0.80471206
59.14623964,-0.80471206
59.16671964,-0.78640097
59.18719964,-0.78640097
59.20767964,-0.78640097
59.22815964,-0.80471206
59.24863964,-0.80471206
59.26911964,-0.82296211
59.28959964,-0.82296211
59.31007964,-0.82296211
59.33055964,-0.82296211
59.35103964,-0.82296211
59.37151964,-0.82296211
59.39199964,-0.82296211
59.41247964,-0.82296211
59.43295964,-0.82296211
59.45343964,-0.82296211
59.47391964,-0.84121221
59.49439964,-0.82296211
59.51487964,-0.82296211
59.53535964,-0.84121221
59.55583964,-0.84121221
59.57631964,-0.84121221
59.59679964,-0.84121221
59.61727964,-0.84121221
59.63775964,-0.84121221
59.65823964,-0.84121221
59.67871964,-0.84121221
59.69919964,-0.85952330
59.71967964,-0.85952330
59.74015964,-0.85952330
59.76063964,-0.85952330
59.78111964,-0.85952330
59.80159964,-0.85952330
59.82207964,-0.85952330
59.84255964,-0.87777334
59.86303964,-0.87777334
59.88351964,-0.87777334
59.90399964,-0.87777334
59.92447964,-0.87777334
59.94495964,-0.87777334
59.96543964,-0.89608449
59.98591964,-0.89608449
60.00639964,-0.89608449
60.02687964,-0.89608449
60.04735964,-0.89608449
60.06783963,-0.89608449
60.08831963,-0.89608449
60.10879963,-0.89608449
60.12927963,-0.89608449
60.14975963,-0.89608449
60.17023963,-0.89608449
60.19071963,-0.89608449
60.21119963,-0.89608449
60.23167963,-0.89608449
60.25215963,-0.89608449
60.27263963,-0.89608449
60.29311963,-0.89608449
60.31359963,-0.89608449
60.33407963,-0.89608449
60.35455963,-0.89608449
60.37503963,-0.89608449
60.39551963,-0.89608449
60.41599963,-0.89608449
60.43647963,-0.89608449
60.45695963,-0.89608449
60.47743963,-0.89608449
60.49791963,-0.89608449
60.51839963,-0.89608449
60.53887963,-0.89608449
60.55935963,-0.89608449
60.57983963,-0.89608449
60.60031963,-0.89608449
60.62079963,-0.87777334
60.64127963,-0.87777334
60.66175963,-0.87777334
60.68223963,-0.89608449
60.70271963,-0.85952330
60.72319963,-0.85952330
60.74367963,-0.85952330
60.76415963,-0.85952330
60.78463963,-0.85952330
60.80511963,-0.85952330
60.82559963,-0.85952330
60.84607963,-0.85952330
60.86655963,-0.85952330
60.88703963,-0.84121221
60.90751963,-0.84121221
60.92799963,-0.84121221
60.94847963,-0.84121221
60.96895963,-0.84121221
60.98943963,-0.84121221
61.00991963,-0.84121221
61.03039963,-0.84121221
61.05087963,-0.82296211
61.07135963,-0.82296211
61.09183963,-0.82296211
61.11231963,-0.82296211
61.13279963,-0.82296211
61.15327963,-0.82296211
61.17375963,-0.80471206
61.19423963,-0.82296211
61.21471963,-0.82296211
61.23519963,-0.80471206
61.25567963,-0.78640097
61.27615963,-0.80471206
61.29663963,-0.80471206
61.31711963,-0.80471206
61.33759963,-0.80471206
61.35807963,-0.80471206
61.37855963,-0.80471206
61.39903963,-0.80471206
61.41951963,-0.80471206
61.43999963,-0.78640097
61.46047963,-0.82296211
61.48095963,-0.80471206
61.50143963,-0.80471206
61.52191963,-0.80471206
61.54239963,-0.80471206
61.56287963,-0.80471206
61.58335963,-0.82296211
61.60383963,-0.80471206
61.62431963,-0.82296211
61.64479963,-0.82296211
61.66527963,-0.82296211
61.68575963,-0.82296211
61.70623962,-0.82296211
61.72671962,-0.82296211
61.74719962,-0.82296211
61.76767962,-0.82296211
61.78815962,-0.84121221
61.80863962,-0.84121221
61.82911962,-0.84121221
61.84959962,-0.84121221
61.87007962,-0.84121221
61.89055962,-0.85952330
61.91103962,-0.85952330
61.93151962,-0.85952330
61.95199962,-0.85952330
61.97247962,-0.85952330
61.99295962,-0.85952330
62.01343962,-0.85952330
62.03391962,-0.85952330
62.05439962,-0.87777334
62.07487962,-0.87777334
62.09535962,-0.87777334
62.11583962,-0.87777334
62.13631962,-0.89608449
62.15679962,-0.89608449
62.17727962,-0.87777334
62.19775962,-0.89608449
62.21823962,-0.89608449
62.23871962,-0.89608449
62.25919962,-0.89608449
62.27967962,-0.89608449
62.30015962,-0.89608449
62.32063962,-0.89608449
62.34111962,-0.89608449
62.36159962,-0.91433454
62.38207962,-0.89608449
62.40255962,-0.91433454
62.42303962,-0.91433454
62.44351962,-0.91433454
62.46399962,-0.89608449
62.48447962,-0.91433454
62.50495962,-0.91433454
62.52543962,-0.91433454
62.54591962,-0.91433454
62.56639962,-0.91433454
62.58687962,-0.91433454
62.60735962,-0.89608449
62.62783962,-0.91433454
62.64831962,-0.89608449
62.66879962,-0.91433454
62.68927962,-0.89608449
62.70975962,-0.89608449
62.73023962,-0.89608449
62.75071962,-0.89608449
62.77119962,-0.89608449
62.79167962,-0.89608449
62.81215962,-0.89608449
62.83263962,-0.89608449
62.85311962,-0.89608449
62.87359962,-0.89608449
62.89407962,-0.87777334
62.91455962,-0.89608449
62.93503962,-0.89608449
62.95551962,-0.87777334
62.97599962,-0.87777334
62.99647962,-0.85952330
63.01695962,-0.87777334
63.03743962,-0.85952330
63.05791962,-0.87777334
63.07839962,-0.85952330
63.09887962,-0.85952330
63.11935962,-0.84121221
63.13983962,-0.85952330
63.16031962,-0.84121221
63.18079962,-0.84121221
63.20127962,-0.84121221
63.22175962,-0.84121221
63.24223962,-0.84121221
63.26271962,-0.84121221
63.28319962,-0.84121221
63.30367962,-0.84121221
63.32415962,-0.82296211
63.34463962,-0.84121221
63.36511961,-0.82296211
63.38559961,-0.82296211
63.40607961,-0.82296211
63.42655961,-0.82296211
63.44703961,-0.82296211
63.46751961,-0.82296211
63.48799961,-0.82296211
63.50847961,-0.82296211
63.52895961,-0.82296211
63.54943961,-0.82296211
63.56991961,-0.82296211
63.59039961,-0.82296211
63.61087961,-0.82296211
63.63135961,-0.82296211
63.65183961,-0.82296211
63.67231961,-0.82296211
63.69279961,-0.82296211
63.71327961,-0.82296211
63.73375961,-0.82296211
63.75423961,-0.82296211
63.77471961,-0.82296211
63.79519961,-0.82296211
63.81567961,-0.82296211
63.83615961,-0.82296211
63.85663961,-0.82296211
63.87711961,-0.84121221
63.89759961,-0.84121221
63.91807961,-0.84121221
63.93855961,-0.84121221
63.95903961,-0.84121221
63.97951961,-0.84121221
63.99999961,-0.85952330
64.02047961,-0.84121221
64.04095961,-0.84121221
64.06143961,-0.85952330
64.08191961,-0.85952330
64.10239961,-0.85952330
64.12287961,-0.85952330
64.14335961,-0.89608449
64.16383961,-0.87777334
64.18431961,-0.87777334
64.20479961,-0.89608449
64.22527961,-0.89608449
64.24575961,-0.87777334
64.26623961,-0.89608449
64.28671961,-0.89608449
64.30719961,-0.89608449
64.32767961,-0.89608449
64.34815961,-0.89608449
64.36863961,-0.89608449
64.38911961,-0.91433454
64.40959961,-0.89608449
64.43007961,-0.91433454
64.45055961,-0.91433454
64.47103961,-0.91433454
64.49151961,-0.91433454
64.51199961,-0.91433454
64.53247961,-0.91433454
64.55295961,-0.91433454
64.57343961,-0.91433454
64.59391961,-0.91433454
64.61439961,-0.93264568
64.63487961,-0.91433454
64.65535961,-0.91433454
64.67583961,-0.91433454
64.69631961,-0.91433454
64.71679961,-0.91433454
64.73727961,-0.91433454
64.75775961,-0.91433454
64.77823961,-0.93264568
64.79871961,-0.91433454
64.81919961,-0.91433454
64.83967961,-0.91433454
64.86015961,-0.91433454
64.88063961,-0.91433454
64.90111961,-0.91433454
64.92159961,-0.91433454
64.94207961,-0.91433454
64.96255961,-0.91433454
64.98303961,-0.91433454
65.00351960,-0.91433454
65.02399960,-0.91433454
65.04447960,-0.91433454
65.06495960,-0.91433454
65.08543960,-0.89608449
65.10591960,-0.89608449
65.12639960,-0.89608449
65.14687960,-0.89608449
65.16735960,-0.89608449
65.18783960,-0.89608449
65.20831960,-0.89608449
65.22879960,-0.89608449
65.24927960,-0.89608449
65.26975960,-0.89608449
65.29023960,-0.89608449
65.31071960,-0.89608449
65.33119960,-0.87777334
65.35167960,-0.87777334
65.37215960,-0.87777334
65.39263960,-0.89608449
65.41311960,-0.87777334
65.43359960,-0.85952330
65.45407960,-0.85952330
65.47455960,-0.85952330
65.49503960,-0.85952330
65.51551960,-0.85952330
65.53599960,-0.85952330
65.55647960,-0.85952330
65.57695960,-0.84121221
65.59743960,-0.84121221
65.61791960,-0.84121221
65.63839960,-0.84121221
65.65887960,-0.84121221
65.67935960,-0.84121221
65.69983960,-0.84121221
65.72031960,-0.84121221
65.74079960,-0.84121221
65.76127960,-0.82296211
